TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,11,1,0,1,21XX RENFREW ST,Hastings-Sunrise,496771.6795,5456959.5548
Break and Enter Commercial,2007,10,20,1,0,21XX SKEENA ST,Hastings-Sunrise,497923.6176,5456882.7847
Break and Enter Commercial,2003,11,18,18,0,21XX SKEENA ST,Hastings-Sunrise,497933.0911,5456970.1133
Break and Enter Commercial,2004,1,6,16,30,21XX SKEENA ST,Hastings-Sunrise,497933.0911,5456970.1133
Break and Enter Commercial,2008,2,15,22,0,21XX SKEENA ST,Hastings-Sunrise,497933.0911,5456970.1133
Break and Enter Commercial,2008,7,24,20,26,21XX SKEENA ST,Hastings-Sunrise,497933.1076,5456974.5434
Break and Enter Commercial,2012,1,19,18,0,22XX KAMLOOPS ST,Hastings-Sunrise,496014.7911,5456812.8535
Break and Enter Commercial,2015,1,8,3,0,22XX NANAIMO ST,Hastings-Sunrise,495886.8273,5456818.4544
Break and Enter Commercial,2007,9,7,0,0,23XX CASSIAR ST,Hastings-Sunrise,497738.9244,5456771.7015
Break and Enter Commercial,2011,6,14,16,45,23XX CASSIAR ST,Hastings-Sunrise,497738.9285,5456772.6043
Break and Enter Commercial,2009,5,12,19,0,23XX CASSIAR ST,Hastings-Sunrise,497738.9776,5456783.9843
Break and Enter Commercial,2016,5,17,2,31,24XX ADANAC ST,Hastings-Sunrise,496007.6794,5458298.4809
Break and Enter Commercial,2012,11,11,4,15,24XX CHARLES ST,Hastings-Sunrise,495903.7079,5457832.9646
Break and Enter Commercial,2020,8,14,1,30,24XX E 1ST AVE,Hastings-Sunrise,495905.146,5457428.5791
Break and Enter Commercial,2020,8,23,3,52,24XX E 1ST AVE,Hastings-Sunrise,495905.146,5457428.5791
Break and Enter Commercial,2021,5,26,10,22,24XX E 1ST AVE,Hastings-Sunrise,495913.2437,5457428.9386
Break and Enter Commercial,2018,5,23,0,0,24XX E 1ST AVE,Hastings-Sunrise,495975.3076,5457402.6038
Break and Enter Commercial,2018,12,14,0,0,24XX E 1ST AVE,Hastings-Sunrise,495975.3076,5457402.6038
Break and Enter Commercial,2019,1,4,15,50,24XX E 1ST AVE,Hastings-Sunrise,495975.3076,5457402.6038
Break and Enter Commercial,2020,1,4,11,11,24XX E 8TH AVE,Hastings-Sunrise,495913.0661,5456685.9501
Break and Enter Commercial,2018,4,8,7,8,24XX E HASTINGS ST,Hastings-Sunrise,495894.692,5458718.8288
Break and Enter Commercial,2021,4,24,8,30,24XX E HASTINGS ST,Hastings-Sunrise,495894.692,5458718.8288
Break and Enter Commercial,2022,6,27,2,22,24XX E HASTINGS ST,Hastings-Sunrise,495894.692,5458718.8288
